4/16 20:07:23.748  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,225774,"Nefarious Pact",0x1,BUFF
4/16 20:07:23.859  SPELL_AURA_REMOVED,Player-1300-06464847,"Rinîon-Frostmane",0x518,0x0,Player-1300-06464847,"Rinîon-Frostmane",0x518,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:24.430  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:24.430  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:24.603  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Creature-0-3061-1513-29975-103397-00006EE850,"Greater Bulwark Construct",0x10a28,0x0,226757,"Conflagration",0x4,DEBUFF
4/16 20:07:24.829  SPELL_AURA_REMOVED,Player-1300-04254F38,"Jáckpot-Frostmane",0x518,0x0,Player-1300-04254F38,"Jáckpot-Frostmane",0x518,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:29.376  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48107,"Heating Up",0x4,BUFF
4/16 20:07:29.376  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,157644,"Enhanced Pyrotechnics",0x1,BUFF
4/16 20:07:29.716  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,194329,"Pyretic Incantation",0x4,BUFF
4/16 20:07:30.059  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,48108,"Hot Streak!",0x1,BUFF
4/16 20:07:31.173  SPELL_AURA_REMOVED,Player-1300-04254F38,"Jáckpot-Frostmane",0x518,0x0,Player-1300-04254F38,"Jáckpot-Frostmane",0x518,0x0,194316,"Cauterizing Blink",0x4,BUFF
4/16 20:07:31.694  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,225776,"Devil's Due",0x1,BUFF
4/16 20:07:32.727  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,236060,"Frenetic Speed",0x4,BUFF
4/16 20:07:34.672  SPELL_AURA_REMOVED,Player-1596-083F213E,"Ghostreaper-Lightning'sBlade",0x548,0x0,Player-1596-083F213E,"Ghostreaper-Lightning'sBlade",0x548,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:36.105  SPELL_AURA_REMOVED,Player-1596-083F213E,"Ghostreaper-Lightning'sBlade",0x548,0x0,Player-1596-083F213E,"Ghostreaper-Lightning'sBlade",0x548,0x0,212653,"Shimmer",0x40,BUFF
4/16 20:07:38.498  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Creature-0-3061-1513-29975-103397-00006EE850,"Greater Bulwark Construct",0x10a28,0x0,194522,"Blast Furnace",0x4,DEBUFF
4/16 20:07:39.550  SPELL_AURA_REMOVED,Player-1300-0811CE75,"Swagilfare-Frostmane",0x518,0x0,Player-1300-0811CE75,"Swagilfare-Frostmane",0x518,0x0,207472,"Xavaric's Magnum Opus",0x1,BUFF,820756
4/16 20:07:40.901  SPELL_AURA_REMOVED,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,Player-1596-09BBAC57,"Moob-TheMaelstrom",0x511,0x0,229206,"Potion of Prolonged Power",0x1,BUFF
